case_id,verdict,ipc_section,relevant_laws,case_fact,penalty_months,severity,ververdict,guilty_label,relevant_laws_list,ipc_label,penalty_scaled
86395d71-2bdd-4935-a316-4bfca6ee7a74,Not Guilty,NONE,,police could not recover any weapon or recovered weapon supporting the charge.,0,Low,Not Guilty,0,[],15,0.0
7539ecfe-95f4-41c0-8183-5e894928b431,Not Guilty,NONE,,the accused provided a verified alibi; no forensic report matched them.,0,Low,Not Guilty,0,[],15,0.0
decb2838-08ed-484c-822b-c69cbcd145af,Guilty,120B,"120B,363,506","fir and forensic report show the accused burned the public servant during a family dispute, resulting in death.",30,Low,,1,"['120B', '363', '506']",0,0.1
66605b4b-db9f-49d7-9183-5b460d5b96af,Not Guilty,NONE,,available evidence was circumstantial and insufficient to prove guilt beyond reasonable doubt.,0,Low,Not Guilty,0,[],15,0.0
683da4d8-be44-409b-a399-7110229c3a3e,Not Guilty,NONE,,available evidence was circumstantial and insufficient to prove guilt beyond reasonable doubt.,0,Low,Not Guilty,0,[],15,0.0
30ae43cf-eb57-47aa-80a2-b1194e73c57b,Not Guilty,NONE,,available evidence was circumstantial and insufficient to prove guilt beyond reasonable doubt.,0,Low,Not Guilty,0,[],15,0.0
bd8b71b0-497c-4168-8ceb-90efbc0eacc9,Not Guilty,NONE,,police could not recover any weapon or dna test supporting the charge.,0,Low,Not Guilty,0,[],15,0.0
9701668b-c8c6-4d4a-9a6e-cc03aba219e7,Not Guilty,NONE,,investigation found no motive or forensic match to the accused.,0,Low,Not Guilty,0,[],15,0.0
21cd527c-93ce-49fc-87d3-15ea1b7072b5,Not Guilty,NONE,,witnesses gave contradictory statements and forensic report was inconclusive.,0,Low,Not Guilty,0,[],15,0.0
60646d4f-4a92-487a-9e7b-63ef039471ec,Guilty,498A,"498A,379,304B","during a quarrel, forensic report captured the accused trespassed the neighbour at train station.",69,Medium,,1,"['498A', '379', '304B']",13,0.23
ccc0a8d1-31be-4b16-8869-6f6b02ba74a5,Not Guilty,NONE,,available evidence was circumstantial and insufficient to prove guilt beyond reasonable doubt.,0,Low,Not Guilty,0,[],15,0.0
176adc4c-b2d8-4cd9-9679-cb1900da2bee,Not Guilty,NONE,,investigation found no motive or forensic match to the accused.,0,Low,Not Guilty,0,[],15,0.0
1417feb9-7a86-42a4-831d-c9ff1823c62c,Guilty,354,354,the accused planned and executed to burned the employee at restaurant for personal gain.,10,Low,,1,['354'],6,0.03333333333333333
b6aaa6bb-a041-4ea0-961a-dde21d12850c,Not Guilty,NONE,,investigation found no motive or forensic match to the accused.,0,Low,Not Guilty,0,[],15,0.0
7783d1ad-5713-4a97-a75f-4750b7fa1607,Not Guilty,NONE,,the accused was present nearby but no dna test linked them to the crime.,0,Low,Not Guilty,0,[],15,0.0
a8d55082-6235-4629-8251-d2e59dc52ca9,Guilty,498A,"498A,326,307",victim's statement and forensic report prove that the accused intentionally stabbed the police officer.,77,Medium,,1,"['498A', '326', '307']",13,0.2566666666666667
d9bc2563-5539-4896-8831-d579ad8f0427,Not Guilty,NONE,,the accused was mistaken for another person; identification was unreliable.,0,Low,Not Guilty,0,[],15,0.0
a9626209-87bd-4dc8-8889-1b750e4b7da4,Not Guilty,NONE,,investigation found no motive or forensic match to the accused.,0,Low,Not Guilty,0,[],15,0.0
6a19c1da-c187-4c42-8285-77554b234fc0,Guilty,420,420,victim's statement and bank transaction logs prove that the accused intentionally stabbed the business partner.,116,Medium,,1,['420'],11,0.3866666666666667
d49ded22-0002-4dbb-b4a2-065e6ea5dde6,Not Guilty,NONE,,police could not recover any weapon or bank transaction logs supporting the charge.,0,Low,Not Guilty,0,[],15,0.0
332104ed-2930-4a60-a171-c0eda1efee0a,Guilty,341,"341,498A",victim's statement and eyewitness statements prove that the accused intentionally blackmailed the customer.,8,Low,,1,"['341', '498A']",5,0.02666666666666667
e6f9168c-7b77-445f-8613-d18f3eb0e0b6,Not Guilty,NONE,,the accused was mistaken for another person; identification was unreliable.,0,Low,Not Guilty,0,[],15,0.0
6bd74432-0e92-479b-bad9-168649666a5c,Not Guilty,NONE,,investigation found no motive or forensic match to the accused.,0,Low,Not Guilty,0,[],15,0.0
ec16fd71-97aa-4bae-b651-d585d24c2bb4,Not Guilty,NONE,,the accused was mistaken for another person; identification was unreliable.,0,Low,Not Guilty,0,[],15,0.0
3ef69b26-1711-4a21-af38-8c627768a53b,Guilty,420,420,"fir and forensic report show the accused forged the minor during a domestic argument, resulting in property loss.",108,Medium,,1,['420'],11,0.36000000000000004
41aa012f-f24b-4bc2-a5c5-fe43f72a2e00,Guilty,307,"307,354",the accused planned and executed to assaulted the public servant at market for personal gain.,187,High,,1,"['307', '354']",3,0.6233333333333334
f9d8a2d5-76a6-4cc3-a130-aefa79920e03,Guilty,354,"354,307","fir and forensic report show the accused shot the business partner during a domestic argument, resulting in serious injury.",16,Low,,1,"['354', '307']",6,0.05333333333333334
